IsApple,name,Presumed Name,Use Name,possible wrong is apple,dups in name,,
FALSE,beurre clarigeau,beurre clairgeau,beurre clairgeau,,FALSE,,
FALSE,beurre claugean,beurre clairgeau,beurre clairgeau,,FALSE,,
FALSE,beurre d. tryon,,beurre d. tryon,,FALSE,,
FALSE,beurre d' anjou,beurre d'anjou,beurre d'anjou,,FALSE,,
FALSE,beurre d'amalis,beurre d'amanlis,beurre d'amanlis,,FALSE,,
FALSE,beurre d'anjou,beurre d'anjou,beurre d'anjou,,FALSE,,
FALSE,beurre d'augin,beurre d'anjou,beurre d'anjou,,FALSE,,
FALSE,beurre de anjou,beurre d'anjou,beurre d'anjou,,FALSE,,
FALSE,beurre de aryon,beurre d'anjou,beurre d'anjou,,FALSE,,
FALSE,beurre diel,beurre diel,beurre diel,,FALSE,,
FALSE,beurre dill,beurre diel,beurre diel,,FALSE,,
FALSE,beurre hardy,beurre hardy,beurre hardy,,FALSE,,
FALSE,beurre rose,beurre rose,beurre rose,,FALSE,,
FALSE,beurre soldat,soldat laboureur,soldat laboureur,,FALSE,,
FALSE,beurre superfine,beurre superfin,beurre superfin,,FALSE,,
TRUE,beverage,beverage,beverage,,FALSE,,
TRUE,bicknell,,bicknell,,FALSE,,
TRUE,big ben,,big ben,,FALSE,,
TRUE,bismark,bismark,bismark,,FALSE,,
TRUE,bitinhammer,bietigheimer,bietigheimer,,FALSE,,
TRUE,bitter sweet,bitter sweet crab,bitter sweet crab,,FALSE,,
TRUE,bl. b. davis,black ben davis,black ben davis,,FALSE,,
TRUE,black,black oxford,black oxford,,FALSE,,
TRUE,black apple,black oxford,black oxford,,FALSE,,
TRUE,black baldwin,black baldwin,black baldwin,,FALSE,,
TRUE,black ben,black ben davis,black ben davis,,FALSE,,
TRUE,black ben davis,black ben davis,black ben davis,,FALSE,,
TRUE,black fall,,black fall,,FALSE,,
TRUE,black gilflower,black gilliflower,black gilliflower,,FALSE,,
TRUE,black gilliflower,black gilliflower,black gilliflower,,FALSE,,
TRUE,black gilly flower,black gilliflower,black gilliflower,,FALSE,,
TRUE,black knox,black oxford,black oxford,,FALSE,,
TRUE,black oxford,black oxford,black oxford,,FALSE,,
TRUE,black oxofrd,black oxford,black oxford,,FALSE,,
TRUE,black russet,,black russet,,FALSE,,
TRUE,black russett,,black russet,,FALSE,,
TRUE,black sweet,,black sweet,,FALSE,,
TRUE,black twig,mammoth black twig,mammoth black twig,,FALSE,,
TRUE,black winter,,black winter,,FALSE,,
